epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
0,0.6908033,0.13752991,0.8625625,0.15297696,1.0919864,0.066360384,0.4125,0.08926786,-1,-1,-1,-1
1,0.5567909,0.0074326317,0.9979375,0.008480446,1.093776,0.061002117,0.40125,0.08802521,-1,-1,-1,-1
2,0.55293345,0.0024096516,0.99975,0.0027838824,1.0874723,0.062205844,0.41125,0.088908315,-1,-1,-1,-1
3,0.5521741,0.0014002415,0.9999375,0.0013961442,1.0957823,0.05820226,0.398125,0.07726021,-1,-1,-1,-1
4,0.5517997,0.00044414503,1.0,0.0,1.0850549,0.061438106,0.4215625,0.08250178,-1,-1,-1,-1
5,0.5517232,0.000298596,1.0,0.0,1.0973277,0.05582949,0.4075,0.079047054,-1,-1,-1,-1
6,0.5517627,0.00082229543,1.0,0.0,1.0867383,0.06741612,0.4115625,0.088283874,-1,-1,-1,-1
7,0.55164945,0.00023391584,1.0,0.0,1.0886813,0.06118934,0.4171875,0.08887041,-1,-1,-1,-1
8,0.5516114,0.00022488357,1.0,0.0,1.0950743,0.06716711,0.406875,0.09692337,-1,-1,-1,-1
9,0.5516025,0.00031922502,1.0,0.0,1.0919262,0.06358594,0.4034375,0.0917596,-1,-1,-1,-1
10,0.5515599,0.00011345956,1.0,0.0,1.0948433,0.06430412,0.4078125,0.090287626,-1,-1,-1,-1
11,0.5515587,0.0001632581,1.0,0.0,1.0949597,0.062497646,0.4,0.08705243,-1,-1,-1,-1
12,0.55155027,0.00024114244,1.0,0.0,1.0877651,0.061240565,0.4146875,0.08737211,-1,-1,-1,-1
13,0.55157095,0.0003826855,1.0,0.0,1.0806335,0.063899465,0.41375,0.092292845,-1,-1,-1,-1
14,0.5515409,0.00011646977,1.0,0.0,1.0817466,0.06539543,0.4259375,0.08879125,-1,-1,-1,-1
15,0.5515379,0.00013852793,1.0,0.0,1.0949731,0.060719635,0.40625,0.081848755,-1,-1,-1,-1
16,0.55151224,7.852291e-05,1.0,0.0,1.0814965,0.058591623,0.41875,0.084085144,-1,-1,-1,-1
17,0.55150574,7.462108e-05,1.0,0.0,1.0824083,0.06233509,0.4225,0.09233093,-1,-1,-1,-1
18,0.5514969,6.8577545e-05,1.0,0.0,1.0991772,0.057186447,0.4003125,0.08276177,-1,-1,-1,-1
19,0.5514983,6.744695e-05,1.0,0.0,1.1003001,0.06800825,0.39875,0.09764013,-1,-1,-1,-1
20,0.5514912,5.6176985e-05,1.0,0.0,1.1018188,0.067600116,0.39375,0.09343698,-1,-1,-1,-1
21,0.55149084,7.005144e-05,1.0,0.0,1.0984402,0.069496915,0.3953125,0.09746544,-1,-1,-1,-1
