epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
0,0.6148586,0.09591671,0.9495937,0.0973839,0.8852122,0.053122107,0.647,0.08637889,-1,-1,-1,-1
1,0.55198723,0.00037889325,1.0,0.0,0.8531854,0.051919736,0.6885,0.08196188,-1,-1,-1,-1
2,0.5516867,0.00017059261,1.0,0.0,0.86042553,0.050042387,0.68675,0.082865104,-1,-1,-1,-1
3,0.55159193,9.7998825e-05,1.0,0.0,0.86073065,0.05138885,0.687125,0.086172156,-1,-1,-1,-1
4,0.55154896,7.8140874e-05,1.0,0.0,0.8706092,0.05415306,0.666375,0.082461074,-1,-1,-1,-1
5,0.55152357,5.6167937e-05,1.0,0.0,0.85878503,0.051372856,0.686,0.08327815,-1,-1,-1,-1
6,0.55150664,4.994652e-05,1.0,0.0,0.86380666,0.047679268,0.67675,0.075374484,-1,-1,-1,-1
7,0.5514966,4.5709006e-05,1.0,0.0,0.87105983,0.05480637,0.67825,0.08913858,-1,-1,-1,-1
8,0.55148804,3.6823792e-05,1.0,0.0,0.86012673,0.05165777,0.68925,0.08151917,-1,-1,-1,-1
9,0.55147755,2.9283374e-05,1.0,0.0,0.867405,0.050320204,0.679125,0.07667515,-1,-1,-1,-1
10,0.55147314,2.3399347e-05,1.0,0.0,0.8724398,0.052924298,0.665875,0.08531385,-1,-1,-1,-1
11,0.5514679,2.1038897e-05,1.0,0.0,0.8722831,0.05547276,0.672875,0.085518725,-1,-1,-1,-1
