epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
0,2.14394,0.059932046,0.315,0.08551087,2.1259527,0.060292844,0.3265,0.08086022,-1,-1,-1,-1
1,2.09805,0.064385794,0.36528125,0.0853204,2.129139,0.064942904,0.323625,0.084440164,-1,-1,-1,-1
2,2.0440228,0.065741785,0.42921874,0.08747084,2.115942,0.06425079,0.339875,0.08161351,-1,-1,-1,-1
3,2.0003228,0.06777381,0.48059374,0.08916584,2.1226017,0.059149142,0.330375,0.08099006,-1,-1,-1,-1
4,1.9460295,0.06736171,0.5421875,0.08848497,2.1172163,0.06684364,0.336875,0.08635184,-1,-1,-1,-1
5,1.9124714,0.06980817,0.57921875,0.089009166,2.1252,0.059261624,0.327375,0.07645352,-1,-1,-1,-1
6,1.876886,0.06959185,0.621625,0.08808031,2.1367726,0.062392056,0.312625,0.08420111,-1,-1,-1,-1
7,1.858131,0.06902552,0.6419375,0.0867053,2.1301353,0.065846466,0.319125,0.09108212,-1,-1,-1,-1
8,1.8358445,0.06693097,0.66778123,0.083167516,2.12502,0.06424248,0.326875,0.08583459,-1,-1,-1,-1
9,1.8276196,0.0627146,0.67534375,0.08041445,2.1426895,0.061581876,0.30625,0.07999023,-1,-1,-1,-1
10,1.81524,0.063880764,0.68859375,0.07948673,2.1357243,0.06258037,0.311625,0.081221245,-1,-1,-1,-1
11,1.8112835,0.064804934,0.6939375,0.08047445,2.1320624,0.056735374,0.322625,0.07605395,-1,-1,-1,-1
12,1.8085731,0.06304277,0.6962187,0.078655444,2.1317987,0.059119806,0.3175,0.07889866,-1,-1,-1,-1
13,1.8028919,0.06449768,0.702875,0.08011184,2.1351995,0.06421494,0.320125,0.08390182,-1,-1,-1,-1
14,1.8028296,0.062255885,0.7041563,0.07793044,2.1316686,0.06433925,0.3255,0.0868893,-1,-1,-1,-1
15,1.799654,0.06638149,0.70721877,0.08179408,2.1439087,0.065028906,0.300625,0.08783196,-1,-1,-1,-1
16,1.799274,0.066151,0.708625,0.079947636,2.134985,0.061075337,0.318,0.08395162,-1,-1,-1,-1
17,1.8030918,0.0632943,0.7038125,0.079791695,2.1340046,0.063661754,0.3195,0.082761325,-1,-1,-1,-1
18,1.7998756,0.06382645,0.70734376,0.079572685,2.1381102,0.06154766,0.3135,0.079050615,-1,-1,-1,-1
19,1.7976586,0.0651317,0.709875,0.08182098,2.133484,0.06701419,0.3185,0.08972144,-1,-1,-1,-1
20,1.795505,0.06449231,0.7102187,0.081072345,2.1240737,0.06488024,0.328,0.08607083,-1,-1,-1,-1
21,1.7993306,0.06579312,0.7073125,0.08140636,2.1455016,0.059432775,0.306,0.08026285,-1,-1,-1,-1
22,1.7989274,0.0640541,0.70625,0.07831227,2.1358712,0.0638786,0.314125,0.08450971,-1,-1,-1,-1
23,1.7968477,0.06351616,0.709375,0.0791927,2.1421094,0.06011098,0.309875,0.080312766,-1,-1,-1,-1
24,1.7969787,0.06525196,0.711125,0.0810723,2.1390142,0.06210972,0.31075,0.084298946,-1,-1,-1,-1
25,1.7969316,0.061237313,0.70921874,0.077396445,2.1367798,0.064727716,0.31275,0.088387996,-1,-1,-1,-1
26,1.7986509,0.065682545,0.7071875,0.08236673,2.1392272,0.060210735,0.309,0.07677239,-1,-1,-1,-1
27,1.7981684,0.06486775,0.7073125,0.08158611,2.1372828,0.061816093,0.314625,0.08158211,-1,-1,-1,-1
28,1.7977365,0.064394996,0.70865625,0.081948146,2.1396952,0.060287934,0.3115,0.084588714,-1,-1,-1,-1
29,1.7965654,0.06716654,0.7087188,0.08500896,2.1392918,0.06237341,0.310875,0.08111344,-1,-1,-1,-1
30,1.7974844,0.063927524,0.7099062,0.08031257,2.1418946,0.059645724,0.3085,0.08134379,-1,-1,-1,-1
31,1.7963501,0.06536036,0.7096875,0.08175265,2.1299605,0.06648329,0.3235,0.08227773,-1,-1,-1,-1
32,1.7978584,0.06321939,0.70996875,0.07849935,2.138193,0.06440487,0.314375,0.08450453,-1,-1,-1,-1
33,1.7939786,0.06384469,0.7147812,0.081147,2.1411843,0.058960993,0.313875,0.07990512,-1,-1,-1,-1
